,Symbol,AtomicNumber,AtomicMass
0,H,1,1.00794
1,Li,3,6.941
2,Be,4,9.012182
3,B,5,10.811
4,C,6,12.0107
5,N,7,14.0067
6,O,8,15.9994
7,F,9,18.9984032
8,Na,11,22.98977
9,Mg,12,24.305
10,Al,13,26.981538
11,Si,14,28.0855
12,P,15,30.973761
13,S,16,32.065
14,Cl,17,35.453
15,K,19,39.0983
16,Ca,20,40.078
17,Sc,21,44.95591
18,Ti,22,47.867
19,V,23,50.9415
20,Cr,24,51.9961
21,Mn,25,54.938049
22,Fe,26,55.845
23,Co,27,58.9332
24,Ni,28,58.6934
25,Cu,29,63.546
26,Zn,30,65.38
27,Ga,31,69.723
28,Ge,32,72.64
29,As,33,74.9216
30,Se,34,78.96
31,Br,35,79.904
32,Rb,37,85.4678
33,Sr,38,87.62
34,Y,39,88.90585
35,Zr,40,91.224
36,Nb,41,92.9063
37,Mo,42,95.96
38,Ru,44,101.07
39,Rh,45,102.9055
40,Pd,46,106.42
41,Ag,47,107.8682
42,Cd,48,112.411
43,In,49,114.818
44,Sn,50,118.701
45,Sb,51,121.76
46,Te,52,127.6
47,I,53,126.90447
48,Cs,55,132.90545
49,Ba,56,137.327
50,La,57,138.9055
51,Ce,58,140.116
52,Pr,59,140.90765
53,Nd,60,144.24
54,Sm,62,150.36
55,Eu,63,151.964
56,Gd,64,157.25
57,Tb,65,158.92534
58,Dy,66,162.5
59,Ho,67,164.93032
60,Er,68,167.259
61,Tm,69,168.93421
62,Yb,70,173.054
63,Lu,71,174.9668
64,Hf,72,178.49
65,W,74,183.84
66,Re,75,186.207
67,Ir,77,192.217
68,Pt,78,195.078
69,Au,79,196.96655
70,Hg,80,200.59
71,Pb,82,207.2
72,Bi,83,208.9804
73,Th,90,232.0381
74,U,92,238.02891
75,Np,93,237.05
76,Pu,94,244.06
